"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"SWE","IMMIGINFLOW","FAM","NBR","A","2000",23716,
"SWE","IMMIGINFLOW","FAM","NBR","A","2001",25282,
"SWE","IMMIGINFLOW","FAM","NBR","A","2002",23215,
"SWE","IMMIGINFLOW","FAM","NBR","A","2003",25335,
"SWE","IMMIGINFLOW","FAM","NBR","A","2004",23162,
"SWE","IMMIGINFLOW","FAM","NBR","A","2005",22713,
"SWE","IMMIGINFLOW","FAM","NBR","A","2006",27291,
"SWE","IMMIGINFLOW","FAM","NBR","A","2007",29515,
"SWE","IMMIGINFLOW","FAM","NBR","A","2008",33687,
"SWE","IMMIGINFLOW","FAM","NBR","A","2009",38339,
"SWE","IMMIGINFLOW","FAM","NBR","A","2010",30739,
"SWE","IMMIGINFLOW","FAM","NBR","A","2011",32828,
"SWE","IMMIGINFLOW","FAM","NBR","A","2012",40552,
"SWE","IMMIGINFLOW","FAM","NBR","A","2013",39086,
"SWE","IMMIGINFLOW","FAM","NBR","A","2014",41099,
"SWE","IMMIGINFLOW","FAM","NBR","A","2015",42071,
"SWE","IMMIGINFLOW","FAM","NBR","A","2016",40378,
"SWE","IMMIGINFLOW","FAM","NBR","A","2017",50429,
"SWE","IMMIGINFLOW","FAM","NBR","A","2018",50874,
"SWE","IMMIGINFLOW","FAM","NBR","A","2019",38118,
"SWE","IMMIGINFLOW","FAMWORKR","NBR","A","2000",0,
"SWE","IMMIGINFLOW","FAMWORKR","NBR","A","2001",0,
"SWE","IMMIGINFLOW","FAMWORKR","NBR","A","2002",0,
"SWE","IMMIGINFLOW","FAMWORKR","NBR","A","2003",0,
"SWE","IMMIGINFLOW","FAMWORKR","NBR","A","2004",0,
"SWE","IMMIGINFLOW","FAMWORKR","NBR","A","2005",0,
"SWE","IMMIGINFLOW","FAMWORKR","NBR","A","2006",0,
"SWE","IMMIGINFLOW","FAMWORKR","NBR","A","2007",0,
"SWE","IMMIGINFLOW","FAMWORKR","NBR","A","2008",0,
"SWE","IMMIGINFLOW","FAMWORKR","NBR","A","2009",756,
"SWE","IMMIGINFLOW","FAMWORKR","NBR","A","2010",1180,
"SWE","IMMIGINFLOW","FAMWORKR","NBR","A","2011",2495,
"SWE","IMMIGINFLOW","FAMWORKR","NBR","A","2012",2748,
"SWE","IMMIGINFLOW","FAMWORKR","NBR","A","2013",2384,
"SWE","IMMIGINFLOW","FAMWORKR","NBR","A","2014",1494,
"SWE","IMMIGINFLOW","FAMWORKR","NBR","A","2015",568,
"SWE","IMMIGINFLOW","FAMWORKR","NBR","A","2016",555,
"SWE","IMMIGINFLOW","FAMWORKR","NBR","A","2017",745,
"SWE","IMMIGINFLOW","FAMWORKR","NBR","A","2018",943,
"SWE","IMMIGINFLOW","FAMWORKR","NBR","A","2019",952,
"SWE","IMMIGINFLOW","FREEMOVS","NBR","A","2000",15969,
"SWE","IMMIGINFLOW","FREEMOVS","NBR","A","2001",17247,
"SWE","IMMIGINFLOW","FREEMOVS","NBR","A","2002",18472,
"SWE","IMMIGINFLOW","FREEMOVS","NBR","A","2003",17853,
"SWE","IMMIGINFLOW","FREEMOVS","NBR","A","2004",19184,
"SWE","IMMIGINFLOW","FREEMOVS","NBR","A","2005",20982,
"SWE","IMMIGINFLOW","FREEMOVS","NBR","A","2006",28178,
"SWE","IMMIGINFLOW","FREEMOVS","NBR","A","2007",33904,
"SWE","IMMIGINFLOW","FREEMOVS","NBR","A","2008",32788,
"SWE","IMMIGINFLOW","FREEMOVS","NBR","A","2009",28975,
"SWE","IMMIGINFLOW","FREEMOVS","NBR","A","2010",26366,
"SWE","IMMIGINFLOW","FREEMOVS","NBR","A","2011",27288,
"SWE","IMMIGINFLOW","FREEMOVS","NBR","A","2012",27551,
"SWE","IMMIGINFLOW","FREEMOVS","NBR","A","2013",28452,
"SWE","IMMIGINFLOW","FREEMOVS","NBR","A","2014",30131,
"SWE","IMMIGINFLOW","FREEMOVS","NBR","A","2015",31765,
"SWE","IMMIGINFLOW","FREEMOVS","NBR","A","2016",32653,
"SWE","IMMIGINFLOW","FREEMOVS","NBR","A","2017",32096,
"SWE","IMMIGINFLOW","FREEMOVS","NBR","A","2018",30174,
"SWE","IMMIGINFLOW","FREEMOVS","NBR","A","2019",26991,
"SWE","IMMIGINFLOW","HUMNTRN","NBR","A","2000",10546,
"SWE","IMMIGINFLOW","HUMNTRN","NBR","A","2001",7941,
"SWE","IMMIGINFLOW","HUMNTRN","NBR","A","2002",8493,
"SWE","IMMIGINFLOW","HUMNTRN","NBR","A","2003",6460,
"SWE","IMMIGINFLOW","HUMNTRN","NBR","A","2004",6140,
"SWE","IMMIGINFLOW","HUMNTRN","NBR","A","2005",8224,
"SWE","IMMIGINFLOW","HUMNTRN","NBR","A","2006",24797,
"SWE","IMMIGINFLOW","HUMNTRN","NBR","A","2007",18290,
"SWE","IMMIGINFLOW","HUMNTRN","NBR","A","2008",11173,
