labels,Country Name,Net Migration,PIB per Capita,Total Unemployment (%),human_development_index,Fecha_Numerico,country_code_c
0,Arabia Saudita,-1025295.0,703367841222.555,7.44999980926514,0.87,737425,168
0,Arabia Saudita,10112.0,258742263040.0,5.82000017166138,0.77,731581,168
0,México,-99430.0,1222408203104.3,3.27999997138977,0.777,736695,126
0,Pakistán,-2172159.0,270556131701.171,3.5699999332428,0.534,735599,151
0,Pakistán,-2290411.0,313629858859.587,3.77900004386902,0.541,735964,151
0,México,33094.0,1078490651625.31,3.85999989509583,0.772,735964,126
0,México,4184.0,1180489601957.61,5.17000007629395,0.752,734138,126
0,México,-9949.0,1090515389749.41,4.44999980926514,0.756,737425,126
0,México,-12438.0,1158913035796.37,3.42000007629395,0.775,736330,126
0,México,-41156.0,1057801295584.05,5.30000019073486,0.746,733773,126
0,México,-47764.0,1269011767478.56,3.48000001907349,0.779,737060,126
0,México,-48160.0,1201089987015.45,4.8899998664856,0.76,734503,126
0,México,-82173.0,1171867608197.72,4.30999994277954,0.768,735599,126
0,México,-100413.0,1315351183524.54,4.80999994277954,0.764,735234,126
0,Pakistán,-1906315.0,231218567178.979,2.95000004768372,0.518,734869,151
0,México,-101719.0,1274443084716.57,4.90999984741211,0.76,734869,126
0,México,-270797.0,782240601984.76,3.94000005722046,0.73,731581,126
0,México,-289132.0,900045350649.351,5.3600001335144,0.745,733408,126
0,México,-309663.0,1052696282278.87,3.63000011444092,0.743,732677,126
0,México,-312270.0,975387131716.089,3.5699999332428,0.741,732312,126
0,México,-318048.0,877476221382.101,3.55999994277954,0.733,731947,126
0,México,-321847.0,1109989063586.62,3.86999988555908,0.745,733042,126
0,México,-324106.0,772106378935.377,3.0,0.719,730851,126
0,México,-332396.0,729336319677.449,3.46000003814697,0.725,731216,126
0,México,-348349.0,756706300589.791,2.63000011444092,0.712,730486,126
0,Pakistán,-2037911.0,244360888750.807,1.83000004291534,0.527,735234,151
0,Pakistán,-1647986.0,224383620829.57,1.84700000286102,0.513,734503,151
0,Pakistán,-431891.0,177165635077.065,0.649999976158142,0.505,733773,151
0,República Árabe Siria,-256835.0,67539427670.9958,8.69699954986572,0.691,734138,187
0,República Árabe Siria,-293599.0,16369724433.2751,8.7519998550415,0.572,736330,187
0,República Árabe Siria,-402356.0,218089977728.285,10.9399995803833,0.653,733042,187
0,República Árabe Siria,-827474.0,16468399180.3822,8.71199989318848,0.556,735599,187
0,República Árabe Siria,-999191.0,43190317724.7088,8.80799961090088,0.65,734503,187
0,República Árabe Siria,-1457678.0,21502061462.2122,8.7209997177124,0.553,735234,187
0,República Árabe Siria,-2081259.0,21361254647.9904,8.82600021362305,0.573,734869,187
0,Pakistán,940739.0,82017743416.2841,0.578999996185303,0.441,730120,151
0,Pakistán,344288.0,79484403984.8849,0.564999997615814,0.448,730486,151
0,Pakistán,-338507.0,168152775283.032,0.540000021457672,0.502,733408,151
0,Pakistán,-524871.0,107759683863.123,0.612999975681305,0.475,731581,151
0,Pakistán,-1574581.0,339205615769.187,3.91599988937378,0.543,736330,151
0,Pakistán,-525915.0,170077814106.305,0.419999986886978,0.498,733042,151
0,Pakistán,-563471.0,152385716311.916,0.400000005960464,0.499,732677,151
0,Pakistán,-578225.0,91760542940.0717,0.589999973773956,0.462,731216,151
0,Pakistán,-588736.0,300425666773.043,4.30299997329712,0.543,737425,151
0,Pakistán,-628923.0,137264061106.043,0.579999983310699,0.493,732312,151
0,Pakistán,-632467.0,120055291992.938,0.592999994754791,0.484,731947,151
0,Pakistán,-834546.0,79904985384.8652,0.547999978065491,0.454,730851,151
0,Pakistán,-890633.0,213587413183.996,0.800000011920929,0.508,734138,151
0,Pakistán,-1177218.0,320909489229.723,3.54200005531311,0.546,737060,151
0,Pakistán,-1309609.0,356128224957.085,4.07999992370605,0.545,736695,151
0,México,-356430.0,707906744574.644,2.65000009536743,0.709,730120,126
0,India,-149966.0,468394937262.37,5.56099987030029,0.491,730120,90
0,India,-177306.0,485441014538.638,5.57600021362305,0.496,730486,90
0,Arabia Saudita,241172.0,803616264791.024,5.6729998588562,0.873,737060,168
0,Federación de Rusia,244437.0,764017107992.391,7.11999988555908,0.764,731947,166
0,Federación de Rusia,241147.0,430347770731.787,8.21000003814697,0.754,731216,166
0,Federación de Rusia,239753.0,591016690742.798,7.76000022888184,0.761,731581,166
0,Arabia Saudita,495746.0,415964583055.37,5.73000001907349,0.794,732677,168
0,Arabia Saudita,495131.0,519796738640.0,5.07999992370605,0.802,733042,168
0,Arabia Saudita,494189.0,429097899280.0,5.38000011444092,0.807,733408,168
0,Arabia Saudita,490805.0,376900135727.637,6.25,0.787,732312,168
0,Arabia Saudita,481349.0,328459700114.755,6.05000019073486,0.78,731947,168
0,Arabia Saudita,282947.0,688586094412.68,5.8899998664856,0.86,736330,168
0,Arabia Saudita,253245.0,816578674529.141,6.03999996185303,0.865,736695,168
0,Arabia Saudita,236962.0,528207332649.536,5.55000019073486,0.816,733773,168
0,India,-208070.0,514937948870.08,5.53000020980835,0.503,730851,90
0,Arabia Saudita,171429.0,644935682011.475,5.65000009536743,0.864,735964,168
0,Arabia Saudita,94083.0,671238840108.229,5.76999998092651,0.828,734138,168
0,Arabia Saudita,88879.0,735974843348.664,5.51999998092651,0.837,734503,168
0,Arabia Saudita,77738.0,746647127407.619,5.57000017166138,0.845,734869,168
0,Arabia Saudita,65520.0,756350347320.381,5.71999979019165,0.852,735234,168
0,Arabia Saudita,60337.0,654269739552.019,5.59000015258789,0.859,735599,168
0,Arabia Saudita,22830.0,189605920240.0,5.26999998092651,0.75,730851,168
0,Arabia Saudita,19616.0,184137469733.333,4.61999988555908,0.744,730486,168
0,Arabia Saudita,17278.0,215807655253.333,5.55999994277954,0.76,731216,168
0,Arabia Saudita,17241.0,189514926213.333,4.57000017166138,0.737,730120,168
0,Federación de Rusia,253479.0,1524917468442.01,7.36999988555908,0.796,733773,166
0,Federación de Rusia,260843.0,2059241965490.83,5.15999984741211,0.818,735234,166
0,Federación de Rusia,282022.0,989930542278.695,7.05999994277954,0.775,732312,166
0,Federación de Rusia,287206.0,306602070620.5,8.97999954223633,0.74,730486,166
0,India,-214351.0,709148514804.659,5.62900018692017,0.525,731581,90
0,India,-255516.0,607699285433.872,5.64300012588501,0.516,731216,90
0,India,-550186.0,820381595512.902,5.61299991607666,0.534,731947,90
0,India,-678231.0,940259888792.141,5.60099983215332,0.543,732312,90
0,India,-769184.0,1216735441524.86,5.57200002670288,0.553,732677,90
0,India,-803437.0,1341886602798.69,5.54400014877319,0.565,733408,90
0,India,-846785.0,1198895582137.51,5.41400003433228,0.56,733042,90
0,Federación de Rusia,404928.0,259710142196.943,10.5799999237061,0.732,730120,166
0,Federación de Rusia,385471.0,1660846387624.78,6.21000003814697,0.791,733042,166
